StoreName,ZipCode
1344,85255
1005,85201
1012,85032
1088,80301
1114,34741
1117,32807
1183,75208
1185,75051
1193,76116
1126,49202
1035,85741
1011,85016
1036,85715
1089,80010
1091,80222
1122,46545
1124,48104
1171,89146
1172,89110
1181,78550
1189,75006
1195,76205
1196,75150
1895,28805
